75059-1,2014,3294,"Star Wars","Star Wars Episode 4/5/6",,0,0,Sandcrawler,//rebrickable.com/sets/75059-1/sandcrawler-star-wars-episode-456-2014,//rebrickable.com/img/sets-t/75059-1.jpg,//rebrickable.com/img/sets-s/75059-1.jpg,//rebrickable.com/img/sets-b/75059-1.jpg
70810-1,2014,2741,"The LEGO Movie",,,0,0,"MetalBeard&#039;s Sea Cow",//rebrickable.com/sets/70810-1/metalbeards-sea-cow-the-lego-movie-2014,//rebrickable.com/img/sets-t/70810-1.jpg,//rebrickable.com/img/sets-s/70810-1.jpg,//rebrickable.com/img/sets-b/70810-1.jpg
71006-1,2014,2531,Town,,,0,0,"The Simpsons House",//rebrickable.com/sets/71006-1/the-simpsons-house-town-2014,//rebrickable.com/img/sets-t/71006-1.jpg,//rebrickable.com/img/sets-s/71006-1.jpg,//rebrickable.com/img/sets-b/71006-1.jpg
10243-1,2014,2469,"Modular Buildings",,,0,0,"Parisian Restaurant",//rebrickable.com/sets/10243-1/parisian-restaurant-modular-buildings-2014,//rebrickable.com/img/sets-t/10243-1.jpg,//rebrickable.com/img/sets-s/10243-1.jpg,//rebrickable.com/img/sets-b/10243-1.jpg
45120-1,2014,2018,"Educational and Dacta",Supplemental,,1,0,"LearnToLearn Core set",//rebrickable.com/sets/45120-1/learntolearn-core-set-supplemental-2014,//rebrickable.com/img/sets-t/45120-1.jpg,//rebrickable.com/img/sets-s/45120-1.jpg,//rebrickable.com/img/sets-b/45120-1.jpg
76023-1,2014,1866,"Super Heroes",Batman,"Ultimate Collector Series",0,0,"The Tumbler",//rebrickable.com/sets/76023-1/the-tumbler-ultimate-collector-series-2014,//rebrickable.com/img/sets-t/76023-1.jpg,//rebrickable.com/img/sets-s/76023-1.jpg,//rebrickable.com/img/sets-b/76023-1.jpg
10244-1,2014,1744,Creator,,,0,0,"Fairground Mixer",//rebrickable.com/sets/10244-1/fairground-mixer-creator-2014,//rebrickable.com/img/sets-t/10244-1.jpg,//rebrickable.com/img/sets-s/10244-1.jpg,//rebrickable.com/img/sets-b/10244-1.jpg
42030-1,2014,1634,Technic,Model,Construction,0,0,"Remote-Controlled Volvo L350F Wheel Loader",//rebrickable.com/sets/42030-1/remote-controlled-volvo-l350f-wheel-loader-construction-2014,//rebrickable.com/img/sets-t/42030-1.jpg,//rebrickable.com/img/sets-s/42030-1.jpg,//rebrickable.com/img/sets-b/42030-1.jpg
10241-1,2014,1515,Creator,Model,,0,0,"Maersk Line Triple-E",//rebrickable.com/sets/10241-1/maersk-line-triple-e-model-2014,//rebrickable.com/img/sets-t/10241-1.jpg,//rebrickable.com/img/sets-s/10241-1.jpg,//rebrickable.com/img/sets-b/10241-1.jpg
42030-1-b1,2014,1390,Technic,,,0,0,"Remote Controlled Volvo A25F Articulated Hauler",//rebrickable.com/sets/42030-1-b1/remote-controlled-volvo-a25f-articulated-hauler-technic-2014,//rebrickable.com/img/sets-t/42030-1-b1.jpg,//rebrickable.com/img/sets-s/42030-1-b1.jpg,//rebrickable.com/img/sets-b/42030-1-b1.jpg
45570-1,2014,1368,"Educational and Dacta",Mindstorms,,1,0,"Space Challenge Set",//rebrickable.com/sets/45570-1/space-challenge-set-mindstorms-2014,//rebrickable.com/img/sets-t/45570-1.jpg,//rebrickable.com/img/sets-s/45570-1.jpg,//rebrickable.com/img/sets-b/45570-1.jpg
75055-1,2014,1357,"Star Wars",,,0,0,"Imperial Star Destroyer",//rebrickable.com/sets/75055-1/imperial-star-destroyer-star-wars-2014,//rebrickable.com/img/sets-t/75055-1.jpg,//rebrickable.com/img/sets-s/75055-1.jpg,//rebrickable.com/img/sets-b/75055-1.jpg
70146-1,2014,1299,"Legends of Chima",,,0,0,"Flying Phoenix Fire Temple",//rebrickable.com/sets/70146-1/flying-phoenix-fire-temple-legends-of-chima-2014,//rebrickable.com/img/sets-t/70146-1.jpg,//rebrickable.com/img/sets-s/70146-1.jpg,//rebrickable.com/img/sets-b/70146-1.jpg
42025-1,2014,1295,Technic,Model,Airport,0,0,"Cargo Plane",//rebrickable.com/sets/42025-1/cargo-plane-airport-2014,//rebrickable.com/img/sets-t/42025-1.jpg,//rebrickable.com/img/sets-s/42025-1.jpg,//rebrickable.com/img/sets-b/42025-1.jpg
70728-1,2014,1216,Ninjago,,,0,0,"Battle for Ninjago City",//rebrickable.com/sets/70728-1/battle-for-ninjago-city-ninjago-2014,//rebrickable.com/img/sets-t/70728-1.jpg,//rebrickable.com/img/sets-s/70728-1.jpg,//rebrickable.com/img/sets-b/70728-1.jpg
41058-1,2014,1165,Friends,,,0,0,"Heartlake Shopping Mall",//rebrickable.com/sets/41058-1/heartlake-shopping-mall-friends-2014,//rebrickable.com/img/sets-t/41058-1.jpg,//rebrickable.com/img/sets-s/41058-1.jpg,//rebrickable.com/img/sets-b/41058-1.jpg
75054-1,2014,1136,"Star Wars","Star Wars Episode 4/5/6",,0,0,AT-AT,//rebrickable.com/sets/75054-1/at-at-star-wars-episode-456-2014,//rebrickable.com/img/sets-t/75054-1.jpg,//rebrickable.com/img/sets-s/75054-1.jpg,//rebrickable.com/img/sets-b/75054-1.jpg
10242-1,2014,1074,Creator,,,0,0,"Mini Cooper",//rebrickable.com/sets/10242-1/mini-cooper-creator-2014,//rebrickable.com/img/sets-t/10242-1.jpg,//rebrickable.com/img/sets-s/10242-1.jpg,//rebrickable.com/img/sets-b/10242-1.jpg
42029-1,2014,1063,Technic,,,0,0,"Customized Pick up Truck",//rebrickable.com/sets/42029-1/customized-pick-up-truck-technic-2014,//rebrickable.com/img/sets-t/42029-1.jpg,//rebrickable.com/img/sets-s/42029-1.jpg,//rebrickable.com/img/sets-b/42029-1.jpg
70165-1,2014,1056,Agents,"Ultra Agents",,0,0,"Ultra Agents Mission HQ",//rebrickable.com/sets/70165-1/ultra-agents-mission-hq-ultra-agents-2014,//rebrickable.com/img/sets-t/70165-1.jpg,//rebrickable.com/img/sets-s/70165-1.jpg,//rebrickable.com/img/sets-b/70165-1.jpg
31026-1,2014,1028,Creator,,,0,0,"Bike Shop &amp;amp; Cafe",//rebrickable.com/sets/31026-1/bike-shop-amp%3B-cafe-creator-2014,//rebrickable.com/img/sets-t/31026-1.jpg,//rebrickable.com/img/sets-s/31026-1.jpg,//rebrickable.com/img/sets-b/31026-1.jpg
42025-1-b1,2014,1022,Technic,Model,Harbor,0,0,Hovercraft,//rebrickable.com/sets/42025-1-b1/hovercraft-harbor-2014,//rebrickable.com/img/sets-t/42025-1-b1.jpg,//rebrickable.com/img/sets-s/42025-1-b1.jpg,//rebrickable.com/img/sets-b/42025-1-b1.jpg
10682-1,2014,999,Creator,"Basic Set",,1,0,"Creative Suitcase",//rebrickable.com/sets/10682-1/creative-suitcase-basic-set-2014,//rebrickable.com/img/sets-t/10682-1.jpg,//rebrickable.com/img/sets-s/10682-1.jpg,//rebrickable.com/img/sets-b/10682-1.jpg
